MES,sexo,Edad,Ciudad de residencia,Departamento,Programa de Gobierno,Proceso,Tipo de Colocado,pertenece_hidrocarburos,tipo_de_proyecto_hidrocarburos,Tipo Contrato,Sector,Departamente sede,Municipio sede
ABRIL,M,21,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,19,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,27,BUCARAMANGA,SANTANDER,"Generación empleo jóvenes (Estrategia Sacúdete), Víctimas del conflicto armado",SERVICIOS GENERALES,Directo por Remisión,false,n/a,Término Indefinido,Actividades de atención de la salud humana,SANTANDER,BUCARAMANGA
ABRIL,M,35,FLORIDABLANCA,SANTANDER,NA,INSPECTOR DE CALIDAD,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,F,20,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,23,BUCARAMANGA,SANTANDER,"Generación empleo jóvenes (Estrategia Sacúdete), Víctimas del conflicto armado",OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,22,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,18,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,20,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,20,BUCARAMANGA,SANTANDER,"Generación empleo jóvenes (Estrategia Sacúdete), Víctimas del conflicto armado",Líder de Cafeterías,Indirecto por Direccionamiento,false,n/a,Obra,Actividades de los hogares individuales como empleadores de personal doméstico,SANTANDER,PIEDECUESTA
ABRIL,F,18,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,18,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,19,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,64,BUCARAMANGA,SANTANDER,NA,OPERARIO,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,M,57,BUCARAMANGA,SANTANDER,NA,OPERARIO,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,F,33,BUCARAMANGA,SANTANDER,NA,AUXILIAR DE FACTURAS,Directo por Remisión,false,n/a,Aprendizaje,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",SANTANDER,BUCARAMANGA
ABRIL,F,41,BUCARAMANGA,SANTANDER,NA,ANALISTA DE NOMINA,Directo por Remisión,false,n/a,Obra,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",SANTANDER,BUCARAMANGA
ABRIL,F,25,BUCARAMANGA,SANTANDER,"40 Mil Primeros Empleos, Generación empleo jóvenes (Estrategia Sacúdete)",ANALISTA DE INVENTARIOS,Directo por Remisión,false,n/a,Obra,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",SANTANDER,BUCARAMANGA
ABRIL,F,19,LEBRIJA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),ASISTENTE HSEQ,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,F,20,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),AUXILIAR CONTABLE,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,M,34,BUCARAMANGA,SANTANDER,NA,COORDINADOR DE DISEÑO Y DESARROLLO,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
MARZO,M,25,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),AUXILIAR LOGÍSTICO,Directo por Remisión,false,n/a,Obra,Almacenamiento y actividades complementarias al transporte,SANTANDER,BUCARAMANGA
ABRIL,M,30,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",NA,DISEÑADOR MECÁNICO,Directo por Remisión,false,n/a,Término Fijo,"Instalación, mantenimiento y reparación especializado de maquinaria y equipo",SANTANDER,GIRÓN
ABRIL,M,32,BUCARAMANGA,SANTANDER,40 Mil Primeros Empleos,JEFE DE PRODUCCIÓN,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,M,21,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,18,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,34,PIEDECUESTA,SANTANDER,NA,OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,21,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,22,PIEDECUESTA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,25,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,32,BUCARAMANGA,SANTANDER,NA,ANALISTA DE COMPRAS Y LOGISTICA,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,F,35,BUCARAMANGA,SANTANDER,NA,EMPLEADA DE SERVICIO DOMÉSTICO,Directo por Remisión,false,n/a,Término Indefinido,"Actividades profesionales, científicas, técnicas y servicios administrativos",SANTANDER,BUCARAMANGA
ABRIL,M,19,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,22,PIEDECUESTA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,22,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,28,BUCARAMANGA,SANTANDER,NA,OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,26,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,26,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),SERVICIOS GENERALES,Directo por Remisión,false,n/a,Término Indefinido,Actividades de atención de la salud humana,SANTANDER,BUCARAMANGA
ABRIL,F,24,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),AUXILIAR CALL CENTER,Directo por Remisión,false,n/a,Término Indefinido,"Actividades profesionales, científicas, técnicas y servicios administrativos",SANTANDER,BUCARAMANGA
ABRIL,F,25,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,26,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,F,35,PIEDECUESTA,SANTANDER,NA,LIDER DE CONFIABILIDAD,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,M,53,FLORIDABLANCA,SANTANDER,NA,JEFE PLANTA DE PRODUCCIÓN BGA,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,F,20,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),TELEMERCADERISTA,Indirecto por Direccionamiento,false,n/a,Término Fijo,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",SANTANDER,GIRÓN
ABRIL,M,62,BUCARAMANGA,SANTANDER,NA,COORDINADOR DE PRODUCCIÓN,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,F,27,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),ASISTENTE CONTABLE Y FINANCIERO,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,M,35,BUCARAMANGA,SANTANDER,NA,ABOGADO/A JUNIOR,Indirecto por Direccionamiento,false,n/a,Término Fijo,Actividades jurídicas y de contabilidad,SANTANDER,BUCARAMANGA
ABRIL,M,34,BUCARAMANGA,SANTANDER,NA,COORDINADOR DE INFRAESTRUCTURA-TECNOLOGÍA SISTEMAS - SECTOR SALUD,Directo por Remisión,false,n/a,Término Indefinido,"Actividades profesionales, científicas, técnicas y servicios administrativos",SANTANDER,BUCARAMANGA
ABRIL,M,25,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),AUXILIAR LOGISTICO,Indirecto por Direccionamiento,false,n/a,Obra,Almacenamiento y actividades complementarias al transporte,SANTANDER,GIRÓN
ABRIL,F,33,BUCARAMANGA,SANTANDER,NA,AUXILIAR DE FACTURACIÓN,Indirecto por Direccionamiento,false,n/a,Término Fijo,Actividades de atención de la salud humana,SANTANDER,BUCARAMANGA
ABRIL,F,25,FLORIDABLANCA,SANTANDER,"40 Mil Primeros Empleos, Generación empleo jóvenes (Estrategia Sacúdete)",AUXILIAR CONTABLE,Directo Autopostulado,false,n/a,Término Indefinido,"Actividades profesionales, científicas, técnicas y servicios administrativos",SANTANDER,BUCARAMANGA
ABRIL,M,27,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),PROFESIONAL CONTABLE Y ADMINISTRATIVO,Directo Autopostulado,false,n/a,Término Fijo,"Suministro de electricidad, gas, vapor y aire acondicionado",SANTANDER,BUCARAMANGA
ABRIL,M,26,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),GUARDIA DE SEGURIDAD,Directo por Remisión,false,n/a,Término Fijo,Actividades de seguridad e investigación privada,SANTANDER,BUCARAMANGA
ABRIL,M,53,BUCARAMANGA,SANTANDER,NA,VIGILANTE,Directo por Remisión,false,n/a,Término Fijo,Actividades de seguridad e investigación privada,SANTANDER,BUCARAMANGA
ABRIL,M,20,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,22,BUCARAMANGA,SANTANDER,"Generación empleo jóvenes (Estrategia Sacúdete), Víctimas del conflicto armado",OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,21,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ABRIL,M,25,GIRÓN,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),DIBUJANTE - PROGRAMADOR,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
ABRIL,M,29,BUCARAMANGA,SANTANDER,NA,INGENIERO DE DISEÑO,Directo por Remisión,false,n/a,Término Fijo,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BUCARAMANGA
